2019-02-07 14:53:57,028 - INFO - quickread - 199, 608  237
2019-02-07 14:53:59,156 - INFO - quickread - 199, 640  233
2019-02-07 14:54:01,309 - INFO - quickread - 200, 672  230
2019-02-07 14:54:03,436 - INFO - quickread - 200, 704  230
2019-02-07 14:54:05,578 - INFO - quickread - 202, 736  228
2019-02-07 14:54:07,710 - INFO - quickread - 202, 768  231
2019-02-07 14:54:09,778 - INFO - quickread - 202, 800  228
2019-02-07 14:54:11,825 - INFO - quickread - 202, 832  227
2019-02-07 14:54:13,998 - INFO - quickread - 203, 864  225
2019-02-07 14:54:16,107 - INFO - quickread - 203, 896  226
2019-02-07 14:54:18,151 - INFO - quickread - 203, 928  224
2019-02-07 14:54:20,256 - INFO - quickread - 203, 960  222
2019-02-07 14:54:22,367 - INFO - quickread - 203, 992  221
2019-02-07 14:54:28,550 - INFO - quickread - 203, 1080  219
2019-02-07 14:54:34,525 - INFO - quickread - 203, 1169  218
2019-02-07 14:54:40,493 - INFO - quickread - 203, 1257  216
2019-02-07 14:54:42,563 - INFO - quickread - 203, 1289  214
2019-02-07 14:54:42,563 - INFO - quickread - IGNORE columba-1.4-src NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 226
2019-02-07 14:54:42,573 - INFO - quickread - IGNORE columba-1.4-src | Total: 6468 | Percent Checked: 0.2 | Total Yes Data: 204 | Percent Yes Checked: 1.0
2019-02-07 14:54:42,573 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-07 14:54:42,573 - INFO - fastread - Total Yes: 204 | Total No: 6264
2019-02-07 14:54:42,659 - INFO - fastread - 6, 10
2019-02-07 14:54:42,661 - INFO - fastread - 13, 20
2019-02-07 14:54:42,663 - INFO - fastread - 23, 30
2019-02-07 14:54:42,665 - INFO - fastread - 33, 40
2019-02-07 14:54:42,667 - INFO - fastread - 43, 50
2019-02-07 14:54:42,669 - INFO - fastread - 53, 60
2019-02-07 14:54:42,671 - INFO - fastread - 63, 70
2019-02-07 14:54:42,673 - INFO - fastread - 73, 80
2019-02-07 14:54:42,675 - INFO - fastread - 77, 90
2019-02-07 14:54:42,675 - INFO - fastread - 82, 100
2019-02-07 14:54:42,675 - INFO - fastread - 91, 110
2019-02-07 14:54:42,675 - INFO - fastread - 101, 120
2019-02-07 14:54:42,683 - INFO - fastread - 110, 130
2019-02-07 14:54:42,685 - INFO - fastread - 118, 140
2019-02-07 14:54:42,685 - INFO - fastread - 127, 150
2019-02-07 14:54:42,685 - INFO - fastread - 135, 160
2019-02-07 14:54:42,693 - INFO - fastread - 143, 170
2019-02-07 14:54:42,695 - INFO - fastread - 150, 180
2019-02-07 14:54:42,695 - INFO - fastread - 158, 190
2019-02-07 14:54:42,695 - INFO - fastread - 165, 200
2019-02-07 14:54:42,695 - INFO - fastread - 171, 210
2019-02-07 14:54:42,703 - INFO - fastread - 174, 220
2019-02-07 14:54:42,705 - INFO - fastread - 180, 230
2019-02-07 14:54:42,705 - INFO - fastread - 180, 240
2019-02-07 14:54:42,705 - INFO - fastread - 184, 250
2019-02-07 14:54:42,705 - INFO - fastread - 188, 260
2019-02-07 14:54:42,715 - INFO - fastread - 190, 270
2019-02-07 14:54:42,715 - INFO - fastread - 190, 280
2019-02-07 14:54:42,715 - INFO - fastread - 193, 290
2019-02-07 14:54:42,715 - INFO - fastread - 193, 300
2019-02-07 14:54:42,723 - INFO - fastread - 194, 310
2019-02-07 14:54:42,725 - INFO - fastread - IGNORE columba-1.4-src | Total: 6468 | Percent Checked: 0.05 | Total Yes Data: 204 | Percent Yes Checked: 0.95
