2019-02-07 15:05:31,864 - INFO - fastread - 217, 680
2019-02-07 15:05:31,864 - INFO - fastread - 220, 690
2019-02-07 15:05:31,872 - INFO - fastread - 221, 700
2019-02-07 15:05:31,874 - INFO - fastread - 221, 710
2019-02-07 15:05:31,874 - INFO - fastread - 223, 720
2019-02-07 15:05:31,874 - INFO - fastread - 224, 730
2019-02-07 15:05:31,882 - INFO - fastread - 224, 740
2019-02-07 15:05:31,884 - INFO - fastread - 224, 750
2019-02-07 15:05:31,884 - INFO - fastread - 224, 760
2019-02-07 15:05:31,884 - INFO - fastread - 225, 770
2019-02-07 15:05:31,892 - INFO - fastread - 225, 780
2019-02-07 15:05:31,894 - INFO - fastread - 225, 790
2019-02-07 15:05:31,894 - INFO - fastread - 225, 800
2019-02-07 15:05:31,894 - INFO - fastread - 225, 810
2019-02-07 15:05:31,902 - INFO - fastread - 225, 820
2019-02-07 15:05:31,904 - INFO - fastread - 225, 830
2019-02-07 15:05:31,904 - INFO - fastread - 225, 840
2019-02-07 15:05:31,904 - INFO - fastread - 225, 850
2019-02-07 15:05:31,912 - INFO - fastread - 225, 860
2019-02-07 15:05:31,914 - INFO - fastread - 225, 870
2019-02-07 15:05:31,914 - INFO - fastread - 225, 880
2019-02-07 15:05:31,914 - INFO - fastread - 225, 890
2019-02-07 15:05:31,923 - INFO - fastread - 226, 900
2019-02-07 15:05:31,926 - INFO - fastread - 226, 910
2019-02-07 15:05:31,928 - INFO - fastread - 226, 920
2019-02-07 15:05:31,931 - INFO - fastread - 226, 930
2019-02-07 15:05:31,933 - INFO - fastread - 227, 940
2019-02-07 15:05:31,936 - INFO - fastread - 229, 950
2019-02-07 15:05:31,939 - INFO - fastread - 229, 960
2019-02-07 15:05:31,941 - INFO - fastread - 229, 970
2019-02-07 15:05:31,944 - INFO - fastread - 229, 980
2019-02-07 15:05:31,946 - INFO - fastread - 229, 990
2019-02-07 15:05:31,947 - INFO - fastread - 229, 1000
2019-02-07 15:05:31,947 - INFO - fastread - 229, 1010
2019-02-07 15:05:31,953 - INFO - fastread - 229, 1020
2019-02-07 15:05:31,956 - INFO - fastread - 229, 1030
2019-02-07 15:05:31,956 - INFO - fastread - 229, 1040
2019-02-07 15:05:31,956 - INFO - fastread - 229, 1050
2019-02-07 15:05:31,964 - INFO - fastread - 229, 1060
2019-02-07 15:05:31,966 - INFO - fastread - 229, 1070
2019-02-07 15:05:31,966 - INFO - fastread - 229, 1080
2019-02-07 15:05:31,974 - INFO - fastread - 229, 1090
2019-02-07 15:05:31,974 - INFO - fastread - 229, 1100
2019-02-07 15:05:31,974 - INFO - fastread - 229, 1110
2019-02-07 15:05:31,974 - INFO - fastread - 229, 1120
2019-02-07 15:05:31,984 - INFO - fastread - 229, 1130
2019-02-07 15:05:31,986 - INFO - fastread - 229, 1140
2019-02-07 15:05:31,986 - INFO - fastread - 229, 1150
2019-02-07 15:05:31,986 - INFO - fastread - 229, 1160
2019-02-07 15:05:31,994 - INFO - fastread - 229, 1170
2019-02-07 15:05:31,996 - INFO - fastread - 229, 1180
2019-02-07 15:05:31,996 - INFO - fastread - 229, 1190
2019-02-07 15:05:31,996 - INFO - fastread - 229, 1200
2019-02-07 15:05:32,004 - INFO - fastread - 229, 1210
2019-02-07 15:05:32,006 - INFO - fastread - 229, 1220
2019-02-07 15:05:32,006 - INFO - fastread - 229, 1230
2019-02-07 15:05:32,006 - INFO - fastread - 229, 1240
2019-02-07 15:05:32,014 - INFO - fastread - 229, 1250
2019-02-07 15:05:32,016 - INFO - fastread - 229, 1260
2019-02-07 15:05:32,016 - INFO - fastread - 229, 1270
2019-02-07 15:05:32,016 - INFO - fastread - 229, 1280
2019-02-07 15:05:32,016 - INFO - fastread - 229, 1290
